id;course_id;grade
46;9;15
46;9;15
46;9;11
46;7;16.5
46;7;13.5
46;7;10
46;7;5
46;7;11
46;7;10.5
46;7;10
46;3;4.25
46;3;9.5
46;3;12
46;3;3.75
46;3;7.25
46;3;5.75
46;1;10
46;1;7
46;1;14
46;2;12.75
46;2;12.5
46;2;11.75
46;2;14.5
46;2;13
46;2;14
46;2;12
46;2;11.75
46;2;12.25
46;5;14
46;5;10
46;5;15
46;5;14
46;5;17
46;8;7.5
46;8;6.5
46;8;14
46;8;10.5
46;6;4
46;6;5.5
46;6;5.75
46;6;4.25
46;6;5.75
46;6;5
46;6;10.5
46;10;12.5
46;10;18.5
46;10;19.5
46;10;11
46;10;12
46;10;8
46;4;8
46;4;6
46;4;7
46;4;5
46;4;7
47;9;14.5
47;9;13
47;7;9
47;7;14
47;7;14.5
47;7;12.5
47;7;10
47;7;17.5
47;7;8.5
47;3;6.25
47;3;7.25
47;3;12.75
47;3;7.25
47;3;9.75
47;3;7
47;1;13
47;1;10
47;1;8
47;2;12.75
47;2;12.75
47;2;14.25
47;2;14.25
47;2;13.5
47;2;11.5
47;2;11.5
47;2;12.75
47;2;14.5
47;2;12.75
47;5;13
47;5;14
47;5;15
47;5;10
47;5;17
47;8;8
47;8;10.5
47;8;12
47;8;10.5
47;6;6
47;6;7.25
47;6;8.25
47;6;7.75
47;6;9.25
47;6;5.5
47;6;9.75
47;6;5.75
47;10;11
47;10;17
47;10;7
47;10;unknown
47;10;8.5
47;10;13.5
47;4;6
47;4;9
47;4;4
47;4;7
47;4;9
49;9;15
49;9;9.5
49;9;12
49;7;9
49;7;14
49;7;13
49;7;14.5
49;7;11.5
49;7;14.5
49;7;11
49;3;0.75
49;3;3.75
49;3;13
49;3;4.5
49;3;6.25
49;3;9
49;1;7
49;1;11
49;1;10
49;2;12.5
49;2;13.5
49;2;13.75
49;2;12.5
49;2;12.75
49;2;12.75
49;2;11.25
49;2;13
49;2;14.75
49;2;13.5
49;5;9
49;5;12
49;5;8
49;5;17
49;5;13
49;8;unknown
49;8;8
49;8;10.5
49;8;12
49;6;4.5
49;6;6.5
49;6;9.25
49;6;6.5
49;6;10
49;6;10.5
49;6;10
49;6;5.5
49;10;20
49;10;8.5
49;10;7
49;10;5.5
49;10;5.5
49;10;10
49;4;5
49;4;9
49;4;4
49;4;5
49;4;8
59;9;11
59;9;13.5
59;9;11.5
59;7;12
59;7;14.5
59;7;11
59;7;11
59;7;15.5
59;7;14.5
59;7;14
59;3;8.75
59;3;9
59;3;5.5
59;3;6.75
59;3;8.5
59;3;11
59;1;12
59;1;7
59;1;11
59;2;12
59;2;13.25
59;2;11.5
59;2;12
59;2;10
59;2;14.75
59;2;13.75
59;2;13.25
59;2;14.25
59;2;10
59;5;15
59;5;13
59;5;14
59;5;18
59;5;10
59;8;12
59;8;9.5
59;8;9.5
59;8;10.5
59;6;8.25
59;6;8
59;6;6.75
59;6;unknown
59;6;unknown
59;6;5.5
59;6;5
59;10;12
59;10;9.5
59;10;6
59;10;13
59;10;10.5
59;10;12
59;4;5
59;4;8
59;4;9
59;4;6
59;4;5
71;9;10.5
71;9;11
71;7;13
71;7;14
71;7;11
71;7;11.5
71;7;15.5
71;7;10.5
71;7;7.5
71;3;10
71;3;11.75
71;3;9
71;3;7.75
71;3;1.25
71;3;1.5
71;1;7
71;1;9
71;1;8
71;2;13.25
71;2;10.25
71;2;12
71;2;12
71;2;12.5
71;2;15
71;2;13
71;2;12.75
71;2;12.75
71;2;14.75
71;5;12
71;5;10
71;5;13
71;5;16
71;5;13
71;8;10
71;8;5.5
71;8;13
71;8;12.5
71;6;8.75
71;6;8.5
71;6;6.5
71;6;4.5
71;6;11.25
71;6;5.75
71;6;4
71;6;8.75
71;10;6
71;10;12.5
71;10;9.5
71;10;11.5
71;10;13
71;10;15
71;4;8
71;4;8
71;4;10
71;4;6
71;4;7
86;9;15.5
86;9;13.5
86;9;15
86;7;11
86;7;11
86;7;14
86;7;13
86;7;11.5
86;7;11
86;7;14
86;3;4.25
86;3;3.5
86;3;3.75
86;3;8.25
86;3;4
86;3;13.5
86;1;8
86;1;12
86;1;11
86;2;11.5
86;2;13.25
86;2;13
86;2;11.75
86;2;14.75
86;2;14
86;2;12.5
86;2;11
86;2;13.75
86;2;10.75
86;5;16
86;5;14
86;5;12
86;5;14
86;5;15
86;8;12.5
86;8;12.5
86;8;4.5
86;8;12.5
86;6;8.5
86;6;9
86;6;9
86;6;14
86;6;8
86;6;2.75
86;6;7
86;6;7.5
86;10;8
86;10;12.5
86;10;12.5
86;10;11
86;10;11.5
86;4;5
86;4;9
86;4;9
86;4;6
86;4;9
99;9;12
99;9;13.5
99;9;15.5
99;7;14.5
99;7;13.5
99;7;12
99;7;9.5
99;7;12.5
99;7;18
99;7;13.5
99;3;4.25
99;3;5
99;3;8.25
99;3;5.5
99;3;4.75
99;3;4.75
99;1;9
99;1;9
99;1;10
99;2;12.75
99;2;13
99;2;13
99;2;10.75
99;2;15
99;2;12.25
99;2;15
99;2;12.75
99;2;11
99;2;12.5
99;5;10
99;5;13
99;5;14
99;5;15
99;5;16
99;8;14
99;8;11.5
99;8;12.5
99;8;11
99;6;7.75
99;6;10.25
99;6;5.5
99;6;6.5
99;6;10
99;6;5.5
99;6;5.75
99;6;10.25
99;10;8
99;10;14.5
99;10;12
99;10;15
99;10;13
99;10;9
99;4;7
99;4;7
99;4;5
99;4;8
99;4;9
112;9;13.5
112;9;12
112;9;16
112;7;10.5
112;7;11
112;7;11.5
112;7;5
112;7;7
112;7;14
112;7;13
112;3;8.75
112;3;2
112;3;5.5
112;3;6.5
112;3;7
112;3;5
112;1;9
112;1;7
112;1;15
112;2;12.75
112;2;13.25
112;2;15.75
112;2;12.5
112;2;13
112;2;14.5
112;2;11
112;2;12.25
112;2;12.5
112;2;11.25
112;5;18
112;5;7
112;5;13
112;5;15
112;5;15
112;8;9
112;8;8.5
112;8;13
112;8;12.5
112;6;11.5
112;6;6
112;6;5
112;6;12.75
112;6;11.25
112;6;12.25
112;6;8.5
112;6;9.75
112;10;14
112;10;6.5
112;10;6.5
112;10;18.5
112;10;10
112;10;8.5
112;4;6
112;4;7
112;4;7
112;4;7
112;4;7
117;9;10
117;9;14.5
117;9;11
117;7;10
117;7;11
117;7;8.5
117;7;10.5
117;7;10.5
117;7;14
117;7;11
117;3;8
117;3;11
117;3;4.75
117;3;6.75
117;3;8.75
117;3;9.5
117;1;13
117;1;9
117;1;15
117;2;13
117;2;13.25
117;2;14
117;2;13.5
117;2;13
117;2;unknown
117;2;10.75
117;2;11.75
117;2;11.75
117;2;13.25
117;5;17
117;5;11
117;5;17
117;5;10
117;5;12
117;8;5
117;8;12
117;8;9.5
117;8;10.5
117;6;9
117;6;5.75
117;6;8.75
117;6;4
117;6;8.5
117;6;6.75
117;6;8.75
117;6;0
117;10;11
117;10;11
117;10;12
117;10;6.5
117;10;16
117;10;12
117;4;6
117;4;7
117;4;6
117;4;8
117;4;6
128;9;12.5
128;9;15.5
128;9;14.5
128;7;13.5
128;7;12
128;7;unknown
128;7;15.5
128;7;10.5
128;7;10.5
128;7;11
128;3;4.5
128;3;2.5
128;3;6.25
128;3;11
128;3;7.25
128;3;4.25
128;1;9
128;1;11
128;1;13
128;2;12
128;2;12
128;2;13
128;2;13.5
128;2;13.25
128;2;13.75
128;2;12.75
128;2;13.25
128;2;14
128;5;15
128;5;11
128;5;13
128;5;9
128;5;14
128;8;9.5
128;8;11.5
128;8;8.5
128;8;12
128;6;9.75
128;6;9.5
128;6;7
128;6;13.5
128;6;8.75
128;6;4.5
128;6;7.75
128;6;10.25
128;10;9
128;10;15.5
128;10;9
128;10;14
128;10;10.5
128;4;9
128;4;10
128;4;10
128;4;8
128;4;6
150;9;14
150;9;15.5
150;9;14
150;7;4.5
150;7;8.5
150;7;8
150;7;15
150;7;9
150;7;17.5
150;3;3.5
150;3;10.5
150;3;8.75
150;3;7.5
150;3;0.5
150;3;7
150;1;11
150;1;11
150;1;10
150;2;12.75
150;2;13.5
150;2;14.25
150;2;14.5
150;2;12.5
150;2;12.25
150;2;13.25
150;2;15
150;2;12
150;2;14.75
150;5;15
150;5;unknown
150;5;14
150;5;13
150;5;11
150;8;12.5
150;8;10.5
150;8;8
150;8;6.5
150;6;4
150;6;7.25
150;6;6.25
150;6;7
150;6;8.75
150;6;5
150;6;5
150;6;8.5
150;10;10.5
150;10;9.5
150;10;8
150;10;6.5
150;10;6.5
150;10;10.5
150;4;6
150;4;6
150;4;7
150;4;7
157;9;8.5
157;9;13
157;9;15.5
157;7;13.5
157;7;6
157;7;16.5
157;7;15.5
157;7;8
157;7;7.5
157;7;9.5
157;3;8.75
157;3;7.75
157;3;2.75
157;3;8.25
157;3;7.75
157;3;6
157;1;14
157;1;15
157;1;12
157;2;13.25
157;2;14
157;2;13
157;2;12
157;2;12.5
157;2;12.25
157;2;11.5
157;2;12.75
157;2;11.25
157;2;11.5
157;5;12
157;5;18
157;5;19
157;5;14
157;5;13
157;8;12
157;8;12
157;8;12
157;8;9
157;6;8
157;6;11
157;6;unknown
157;6;10
157;6;7.5
157;6;9.25
157;6;7
157;6;5.75
157;10;9.5
157;10;17
157;10;9
157;10;12
157;10;7
157;10;10.5
157;4;8
157;4;8
157;4;13
157;4;8
157;4;10
180;9;13
180;9;13
180;9;14.5
180;7;11.5
180;7;12.5
180;7;12
180;7;11.5
180;7;15.5
180;7;13
180;7;11.5
180;3;6
180;3;9.25
180;3;3.5
180;3;10
180;3;11.75
180;3;6.25
180;1;12
180;1;14
180;1;10
180;2;11.75
180;2;14
180;2;12.5
180;2;13.75
180;2;11.25
180;2;13.25
180;2;12.75
180;2;13.5
180;2;11.25
180;5;15
180;5;9
180;5;12
180;5;15
180;5;11
180;8;11
180;8;11
180;8;10.5
180;8;4.5
180;6;12.75
180;6;unknown
180;6;7.75
180;6;10
180;6;5.5
180;6;10
180;6;0
180;6;11.25
180;10;unknown
180;10;9.5
180;10;15.5
180;10;14
180;10;11
180;10;13
180;4;7
180;4;8
180;4;6
180;4;7
180;4;10
192;9;13.5
192;9;15
192;9;13.5
192;7;9
192;7;8
192;7;10
192;7;9
192;7;15
192;7;7.5
192;7;10
192;3;6
192;3;4
192;3;8.5
192;3;8.5
192;3;7.5
192;3;11.75
192;1;7
192;1;12
192;1;11
192;2;15.75
192;2;11.5
192;2;13
192;2;13.5
192;2;13.25
192;2;13
192;2;13
192;2;11.25
192;2;12.75
192;2;14.5
192;5;14
192;5;8
192;5;12
192;5;14
192;5;9
192;8;10.5
192;8;11
192;8;9
192;8;8
192;6;9.25
192;6;8.25
192;6;6.5
192;6;3.25
192;6;9.5
192;6;2
192;6;5.75
192;6;4.25
192;10;13
192;10;9.5
192;10;13.5
192;10;9.5
192;10;9.5
192;10;10.5
192;4;7
192;4;6
192;4;6
192;4;9
192;4;8
207;9;13.5
207;9;11
207;9;14
207;7;14.5
207;7;8.5
207;7;10.5
207;7;15
207;7;10.5
207;7;13.5
207;7;11
207;3;4.25
207;3;9
207;3;4.5
207;3;0
207;3;7.75
207;3;8.75
207;1;9
207;1;unknown
207;1;9
207;2;13
207;2;13
207;2;14.5
207;2;13.25
207;2;12.5
207;2;12.25
207;2;12
207;2;13.75
207;2;12.25
207;2;15.5
207;5;14
207;5;14
207;5;10
207;5;11
207;5;14
207;8;12
207;8;8
207;8;6.5
207;8;6.5
207;6;8
207;6;9
207;6;4.5
207;6;11.75
207;6;7.5
207;6;10
207;6;8.25
207;10;10
207;10;10.5
207;10;7.5
207;10;8.5
207;10;12.5
207;10;8
207;4;8
207;4;5
207;4;6
207;4;7
207;4;8
209;9;14
209;9;10.5
209;9;10.5
209;7;16.5
209;7;13
209;7;8
209;7;12.5
209;7;7
209;7;11.5
209;7;18.5
209;3;4.25
209;3;11.25
209;3;unknown
209;3;11.5
209;3;10.25
209;3;2.75
209;1;10
209;1;14
209;1;13
209;2;14
209;2;12.75
209;2;13
209;2;11.75
209;2;12.75
209;2;12.5
209;2;12.5
209;2;12.5
209;2;13.5
209;2;13.25
209;5;15
209;5;11
209;5;17
209;5;13
209;5;9
209;8;8
209;8;13
209;8;8.5
209;8;8.5
209;6;5.25
209;6;6
209;6;2.5
209;6;8.75
209;6;7.25
209;6;4.25
209;6;8.25
209;6;5
209;10;5
209;10;12.5
209;10;17
209;10;14
209;10;14.5
209;10;14
209;4;9
209;4;9
209;4;8
209;4;4
209;4;7
210;9;15
210;9;14
210;9;11
210;7;7
210;7;19
210;7;10
210;7;12
210;7;10.5
210;7;13.5
210;7;11.5
210;3;8
210;3;4.75
210;3;8.5
210;3;4.25
210;3;4
210;3;3
210;1;11
210;1;13
210;1;9
210;2;12.5
210;2;12.5
210;2;12.75
210;2;13.5
210;2;11.5
210;2;12.5
210;2;14.75
210;2;12.25
210;2;10.75
210;2;11.25
210;5;8
210;5;15
210;5;13
210;5;15
210;5;16
210;8;6.5
210;8;4
210;8;8
210;8;12
210;6;5.75
210;6;9.25
210;6;2
210;6;2.25
210;6;11
210;6;3.25
210;6;8.25
210;6;7.25
210;10;10.5
210;10;9.5
210;10;15
210;10;12
210;10;7.5
210;10;7
210;4;7
210;4;5
210;4;7
210;4;5
210;4;7
222;9;16.5
222;9;12
222;9;9.5
222;7;14.5
222;7;12.5
222;7;11.5
222;7;15
222;7;15.5
222;7;12.5
222;7;14.5
222;3;7.25
222;3;9
222;3;5.5
222;3;12
222;3;2.25
222;3;6
222;1;13
222;1;9
222;1;14
222;2;12.75
222;2;15
222;2;12
222;2;13.5
222;2;14.25
222;2;12.25
222;2;12.25
222;2;12.75
222;2;10.75
222;2;11.5
222;5;7
222;5;14
222;5;14
222;5;11
222;5;13
222;8;8
222;8;9
222;8;5.5
222;8;10.5
222;6;6.25
222;6;8.75
222;6;8.75
222;6;3.5
222;6;9.5
222;6;10.75
222;6;2.25
222;6;10.25
222;10;9
222;10;9.5
222;10;10.5
222;10;13.5
222;10;14
222;4;3
222;4;9
222;4;5
222;4;8
222;4;7
233;9;13
233;9;12
233;9;15
233;7;8.5
233;7;10.5
233;7;10
233;7;14.5
233;7;11.5
233;7;13.5
233;7;8
233;3;9.5
233;3;6.25
233;3;3
233;3;11
233;3;4.75
233;3;3.5
233;1;13
233;1;12
233;1;8
233;2;11.5
233;2;12.75
233;2;11.75
233;2;11.75
233;2;10.75
233;2;14.25
233;2;11.5
233;2;11.25
233;2;10.5
233;2;13
233;5;12
233;5;11
233;5;14
233;5;8
233;5;15
233;8;11
233;8;13.5
233;8;9.5
233;8;7
233;6;11.5
233;6;9.5
233;6;6.75
233;6;6.25
233;6;10.25
233;6;7.75
233;6;8.25
233;6;5.25
233;10;9
233;10;11
233;10;16.5
233;10;9
233;10;14.5
233;10;9.5
233;4;5
233;4;7
233;4;10
233;4;5
233;4;7
235;9;14
235;9;10.5
235;9;13.5
235;7;14.5
235;7;unknown
235;7;13
235;7;16
235;7;11.5
235;7;6.5
235;7;14
235;3;7
235;3;6.25
235;3;7.75
235;3;9
235;3;6.25
235;3;12
235;1;13
235;1;14
235;1;10
235;2;12.5
235;2;12.25
235;2;13.25
235;2;12.25
235;2;13
235;2;12
235;2;12.5
235;2;13.75
235;2;11.25
235;2;15
235;5;18
235;5;14
235;5;12
235;5;15
235;5;14
235;8;14
235;8;5.5
235;8;12
235;8;11.5
235;6;3
235;6;6.75
235;6;9.5
235;6;11
235;6;5.25
235;6;5.25
235;6;10.25
235;6;10.75
235;10;12
235;10;16.5
235;10;14.5
235;10;12.5
235;10;unknown
235;10;14.5
235;4;6
235;4;8
235;4;7
235;4;8
235;4;8
247;9;13.5
247;9;11.5
247;9;13.5
247;7;11
247;7;11
247;7;13.5
247;7;10
247;7;11
247;7;7
247;7;8.5
247;3;4.75
247;3;10
247;3;4
247;3;7.75
247;3;7.75
247;3;5
247;1;13
247;1;11
247;1;9
247;2;12.25
247;2;13.75
247;2;13.5
247;2;13.5
247;2;13.25
247;2;13.25
247;2;13.75
247;2;13.75
247;2;14.5
247;2;12.25
247;5;6
247;5;13
247;5;14
247;5;19
247;8;7
247;8;13.5
247;8;13.5
247;8;7
247;6;6.5
247;6;4.75
247;6;3.25
247;6;8.25
247;6;0
247;6;5.5
247;6;10.75
247;6;9.5
247;10;14
247;10;8
247;10;14.5
247;10;14
247;10;15.5
247;10;9.5
247;4;6
247;4;7
247;4;5
247;4;5
247;4;6
264;9;10.5
264;9;13.5
264;9;15
264;7;11
264;7;13
264;7;11.5
264;7;11
264;7;11
264;7;7
264;3;8.25
264;3;10
264;3;10.75
264;3;2.75
264;3;6.75
264;3;8.25
264;1;13
